Name-CN,Name-EN,图标分类-CN,图标分类-EN,图标预览,图标标签,UI 设计负责人,预计完成时间
播放,play,常用图标,Base,play1.svg (https://dl.airtable.com/.attachments/3513ff49495683d7f235e753e286a1f7/8f79144f/play1.svg),视频，播放，播放器，媒体,齐 奉飞,2019-03-19
暂停,pause-one,常用图标,Base,pause2.svg (https://dl.airtable.com/.attachments/3e650e20ba9024cad0f31e952ed84a2a/65cdd654/pause2.svg),停止播放，暂停,常留留 常,2019-03-19
减少,reduce,"常用图标,符号","Character",reduce1.svg (https://dl.airtable.com/.attachments/de10f2cbba78bd5e13d0530d3c81d503/e76102a1/reduce1.svg),未全选，复选框-未全选,常留留 常,2019-03-19
添加,add,"常用图标,符号","Character",add1.svg (https://dl.airtable.com/.attachments/05a4d32e1f9aceff37f8826a4ecb69eb/6492fe23/add1.svg),新建，增加，创建,常留留 常,2019-03-19
添加,add-one,常用图标,Base,add2.svg (https://dl.airtable.com/.attachments/04892c53587a3d05b6681e770a8377d6/1477832d/add2.svg),新建，增加，创建,常留留 常,2019-03-19
设置,setting,常用图标,Base,setting1.svg (https://dl.airtable.com/.attachments/c4336ac666498a41c16710c97c5ee386/8aa9067b/setting1.svg),齿轮，设置，配置,刘心乐,2019-03-22
设置,setting-two,常用图标,Base,设置.svg (https://dl.airtable.com/.attachments/dfa4ec537eb5fe425dd1097af44f4e4a/5239413f.svg),齿轮，设置，螺丝，螺母，配置,常留留 常,2019-10-12
设置,setting-one,常用图标,Base,setting2.svg (https://dl.airtable.com/.attachments/aed0c591f159c0aa8d7761e277427f8b/17e03d55/setting2.svg),齿轮，设置，螺丝，螺母,刘心乐,2019-03-22
设置,setting-three,常用图标,Base,太阳.svg (https://dl.airtable.com/.attachments/02704a7bd4725f921d01d393c9654bd6/04b97c1e.svg),太阳能，阳光，设置，配置,金 磊,2019-10-12
配置,config,常用图标,Base,cogfig.svg (https://dl.airtable.com/.attachments/e8847dfab056162e51663e1f8c30e682/189cc75e/cogfig.svg),配置，设置，配置,齐 奉飞,2019-07-11
闹钟,alarm-clock,时间,Time,alarm-clock.svg (https://dl.airtable.com/.attachments/8b28d76a04034bab74f91dcb3b936f7a/4927d91c/alarm-clock.svg),倒计时 ，闹钟，时间,常留留 常,2019-03-26
秒表,stopwatch,时间,Time,stopwatch.svg (https://dl.airtable.com/.attachments/187e9610c686ad9483b83cff2d04e086/c1eeb6c9/stopwatch.svg),倒计时 ，时间，描边,常留留 常,2019-03-26
帮助,help,"常用图标,符号","Character",help.svg (https://dl.airtable.com/.attachments/1008cbefdd218c53af05bf6a73766d0e/fdf725be/help.svg),问题，疑问，帮助,刘心乐,2019-03-22
注意,attention,"常用图标,符号","Character",attention.svg (https://dl.airtable.com/.attachments/4b2797b57111dc10392916516c848ba6/fe03d050/attention.svg),提示，注意，警示,刘心乐,2019-03-22
